IP,Time,Browser
10.81.192.105,11/Nov/2020:14:59:16,Safari
10.81.192.105,11/Nov/2020:14:59:27,Safari
10.81.192.105,11/Nov/2020:14:59:34,Safari
10.81.192.105,11/Nov/2020:14:59:41,Safari
10.81.192.105,11/Nov/2020:15:18:30,Safari
10.81.192.105,11/Nov/2020:15:38:45,Safari
10.81.192.105,11/Nov/2020:15:39:27,Safari
10.81.192.105,11/Nov/2020:15:43:02,Safari
10.81.192.105,11/Nov/2020:15:43:06,Safari
10.81.192.105,11/Nov/2020:15:46:27,Safari
