IP,Time,Browser
10.81.192.105,11/Nov/2020:15:19:35,Safari
10.81.192.105,11/Nov/2020:15:19:57,Safari
10.81.192.105,11/Nov/2020:15:20:03,Safari
10.81.192.105,11/Nov/2020:15:20:06,Safari
10.81.192.105,11/Nov/2020:15:39:39,Safari
10.81.192.105,11/Nov/2020:15:39:41,Safari
